,ENTITY1,RELATION,ENTITY2,ADDITIONAL,VECTOR,LABEL,NEW_RELATION
120,Great River, rolled,Silverlode,,"[-0.22366108  0.06011904  0.41239774  0.2804509   0.00709268 -0.9970058
  0.15778588  1.1952276  -0.198267   -0.44556588  0.04283661 -0.49276218
  0.12970737 -0.09135204 -0.13292716  0.04785016  0.20875739 -0.5368176
 -0.211009   -0.7370656   0.13254507 -0.03834691  0.34010756 -0.4325897
  0.14722772  0.17775957 -0.17652982 -0.12995149 -0.26558885  0.10069153
  0.20923235 -0.13014092  0.34601972 -0.14221805  0.1591132   0.15475954
 -0.01492502 -0.35866535  0.01113449 -0.50552386  0.13260669  0.00496162
  0.05881957 -0.18976769  0.13507631  0.22893548 -0.7192624   0.3716205
 -0.1927792   0.26979467  0.00478698 -0.45903012 -0.08486792  0.09207661
 -0.27991667  0.34427097  0.19143775 -0.39401376 -0.42608428  0.24042156
 -0.1654106   0.11651913 -0.16265285 -0.09283721 -0.44884914  0.405913
  0.16362728  0.37299427 -0.11151135  0.2843075   0.31170237 -0.01406021
  0.637148    0.29875493  0.04565747 -0.1148149   0.7398379  -0.5056999
 -0.3747285   0.10648417 -0.13388821  0.14609715 -0.1577519   0.10395591
 -0.21834642 -0.10442684 -0.13381116  0.17465757  0.22829661 -0.05164477
  0.44346374  0.24983701 -0.21895069  0.4377182   0.59742653  0.6009189
  0.2647453  -0.4308922  -0.18708101  0.10717193]",-1,thoughts
121,Elves, added also,coils,,"[-0.12672536  0.33465227  0.02964151 -0.11413512  0.06332134 -0.6470456
  0.19904558  0.72381884 -0.59194744 -0.29333588 -0.04464781 -0.25867403
 -0.28000706 -0.19545683 -0.03101501 -0.08408833 -0.04061754 -0.17638001
 -0.6438609  -0.7179526   0.14065531  0.07089792  0.34698927 -0.39598405
 -0.18556204 -0.02883808 -0.04581182 -0.18310867 -0.30027175  0.07916995
  0.48587793 -0.10612724  0.46690178 -0.19197553 -0.11611247  0.27289885
 -0.04238883 -0.00553823  0.01952943 -0.3075608  -0.02815136 -0.29744712
 -0.11254625  0.08114503  0.5428499  -0.07834297 -0.01968179  0.17047516
  0.17828937  0.5191748   0.09481639 -0.16930106  0.2187879  -0.07755089
 -0.08138381  0.26205307 -0.01756515 -0.04737605 -0.24047862 -0.04833335
  0.08430034  0.13001397  0.2749023  -0.1994281  -0.23445088  0.0640865
  0.24990138  0.45147383 -0.4469407   0.54099447 -0.01624883  0.29963654
  0.5357749  -0.12607844  0.23600328  0.24770191 -0.02768473 -0.02839374
 -0.10178597 -0.02389991 -0.06163525 -0.04239888 -0.51857394  0.3108676
 -0.10616641 -0.09940889 -0.13974363 -0.10251094  0.4922952   0.19665357
  0.11629608  0.30890426  0.17678636 -0.17866305  0.5972975   0.22042596
 -0.16113833 -0.44975325  0.11842285 -0.06511608]",-1,thoughts
122,Galadriel, gave,Aragorn,,"[-0.18439601  0.3934736   0.4487139  -0.10113051  0.03449943 -0.73271644
  0.199238    1.2157501  -0.54899657 -0.45149627 -0.4617289  -1.1190429
  0.30171025 -0.1289416   0.10125306  0.00643758  0.12228113 -0.4346561
 -0.00822996 -0.60246646  0.4149855   0.09093431  0.23133254 -0.42559958
 -0.30338818  0.70742905  0.11302808 -0.33116317 -0.1708716  -0.04112855
  0.5113875  -0.6363056   0.5626048  -0.501248    0.00822635  0.51578826
  0.6529584  -0.22224101 -0.66650844 -0.19579072  0.20252861 -0.4827885
 -0.5776041   0.35905528  0.32643974  0.21690786 -0.9032194  -0.48808256
  0.12456071  0.33696246  0.12880477 -0.9653611   0.6410722   0.07191538
 -0.00276843  0.758291    0.08409864 -0.4171549  -0.08840705  0.38928783
 -0.11965168 -0.5563118  -0.00687256  0.19545317 -0.7470286   0.31438062
 -0.0154592   0.5364029   0.1031416   1.0038749   0.389294    0.27678046
  1.0806208   0.49742746  0.3022518   0.1770983   0.51833904 -0.25382933
 -0.08652201  0.20422807 -1.02041    -0.28886166 -0.5280457   0.02383811
 -0.5077796  -0.40900904  0.17726722 -0.00354967  0.32587898  0.0174011
  0.73728937  0.428717   -0.01883613  0.26466078 -0.07742446  0.36973
  0.42147726 -0.03260654  0.16874065  0.35046247]",16,gave
123,Mirror, saw,Lady,,"[-0.810779    0.08501016  0.8626317  -0.16027759 -0.31852597 -1.2199368
  0.29597703  1.9437878  -0.16198055 -0.34252277 -0.73848456 -1.3223505
  0.7507389  -0.06121532 -0.7499626   0.45125464  0.6342938  -0.41804162
 -0.24966848 -0.6111164   0.70437324 -0.6542002   0.81305796 -0.7597185
 -0.08693278  1.0901179   0.24645911 -0.6758754  -0.53813934  0.21820031
  0.2246224  -0.25413078  1.6681406  -0.7627089   0.02518778 -0.6165169
  0.1093113  -0.94213396 -0.5115748   0.3468136   0.72811913 -0.5156364
 -0.07506383 -0.06547866  0.25425833  0.2578015  -0.5897861  -0.6893881
  0.41847807  0.55770105 -0.26213017 -0.609772    0.54144627 -0.64412624
  0.15025775  0.95224196 -0.00512258 -0.1308825  -0.500641    0.81747234
 -0.5810957  -1.177373   -0.06128611  1.5402176  -0.5364356  -0.06405438
 -0.27695337  0.20641543  0.72553176  1.6596661   0.8494501   0.0555675
  1.5796396   0.5829181   0.48890364 -0.3759821   1.6436     -1.6232685
 -0.31938908  0.3492224  -1.2188219  -0.7237667   0.05729816  0.5331118
 -1.0112656  -0.25219664  0.67472196  0.19038136 -0.14261071  0.3609411
  1.629149   -0.00338391 -0.10046937  0.10925575 -0.27050844  0.52449507
  1.2790122   0.39275345 -0.13243546  0.4095489 ]",1,saw
124,Sam, shaking,Strider,,"[-0.06792063  0.12140072  0.11296006  0.06527806  0.00558337 -0.3053497
  0.05011291  0.43761143 -0.05132255 -0.18184702 -0.01707558 -0.20199597
  0.00444881 -0.04747444 -0.0934271  -0.05599396  0.09515063 -0.16871701
 -0.00113165 -0.21832539  0.04817678 -0.03546202  0.08936039 -0.17025015
 -0.05022176  0.02734786 -0.07032036 -0.14713624 -0.09024911  0.00101075
  0.1039141  -0.18383795  0.10893591 -0.12983294  0.05568546  0.03476659
  0.06738655 -0.00721816  0.05019438 -0.14016566  0.11620449 -0.0580752
 -0.04571221  0.02767667  0.07662929  0.15371712 -0.2584021   0.13525048
 -0.01766056  0.05334719  0.00143603 -0.18438372  0.12414785  0.09015257
 -0.11447842  0.11896709  0.12565945 -0.11486974 -0.11263598  0.06548878
 -0.06095768 -0.03046035 -0.01340345  0.01489588 -0.12243102  0.12301422
  0.05421579  0.18730418 -0.01603636  0.16355126  0.16457017  0.02169988
  0.3403566   0.1433969   0.07592409 -0.03244871  0.23823185 -0.13537475
 -0.09826391  0.02767797 -0.17059498 -0.02535829 -0.03398309 -0.01422602
 -0.05306058 -0.10356426  0.01351802  0.09740421  0.07212643 -0.00509876
  0.26009896  0.14870182 -0.05563314  0.16032365  0.13929036  0.22058026
  0.08391068 -0.10843758  0.0198033   0.09296474]",-1,thoughts
125,Frodo, saw,Aragorn,,"[-0.810779    0.08501016  0.8626317  -0.16027759 -0.31852597 -1.2199368
  0.29597703  1.9437878  -0.16198055 -0.34252277 -0.73848456 -1.3223505
  0.7507389  -0.06121532 -0.7499626   0.45125464  0.6342938  -0.41804162
 -0.24966848 -0.6111164   0.70437324 -0.6542002   0.81305796 -0.7597185
 -0.08693278  1.0901179   0.24645911 -0.6758754  -0.53813934  0.21820031
  0.2246224  -0.25413078  1.6681406  -0.7627089   0.02518778 -0.6165169
  0.1093113  -0.94213396 -0.5115748   0.3468136   0.72811913 -0.5156364
 -0.07506383 -0.06547866  0.25425833  0.2578015  -0.5897861  -0.6893881
  0.41847807  0.55770105 -0.26213017 -0.609772    0.54144627 -0.64412624
  0.15025775  0.95224196 -0.00512258 -0.1308825  -0.500641    0.81747234
 -0.5810957  -1.177373   -0.06128611  1.5402176  -0.5364356  -0.06405438
 -0.27695337  0.20641543  0.72553176  1.6596661   0.8494501   0.0555675
  1.5796396   0.5829181   0.48890364 -0.3759821   1.6436     -1.6232685
 -0.31938908  0.3492224  -1.2188219  -0.7237667   0.05729816  0.5331118
 -1.0112656  -0.25219664  0.67472196  0.19038136 -0.14261071  0.3609411
  1.629149   -0.00338391 -0.10046937  0.10925575 -0.27050844  0.52449507
  1.2790122   0.39275345 -0.13243546  0.4095489 ]",1,saw
126,Boromir, bowed,Frodo,head,"[-0.17249289  0.41596758  0.1840704   0.05572964 -0.0395779  -0.8201284
  0.17003176  1.2506684  -0.0866915  -0.5324156   0.00459008 -0.5665851
 -0.12727906 -0.10733086 -0.2750438  -0.05674266  0.2343747  -0.47792882
 -0.09027177 -0.5173184   0.03402904 -0.24254014  0.07475924 -0.41656107
 -0.44296038  0.01081896 -0.27580887 -0.47735763 -0.28146696 -0.20189145
  0.21347374 -0.53715175  0.32999855 -0.31887764  0.08618107  0.09308652
  0.24988222  0.07287762  0.08814455 -0.25551495  0.23094282 -0.16610432
 -0.12196816  0.0970365   0.289706    0.6179245  -0.5171139   0.36062425
  0.16946024  0.14007038 -0.07260831 -0.45749605  0.5208981   0.47664565
 -0.30696082  0.22200227  0.41713357 -0.3146246  -0.163133    0.19315484
 -0.08451255 -0.1577254   0.03915669  0.17038041 -0.3000173   0.3459111
  0.14499661  0.45212242  0.03819822  0.48323858  0.49312264  0.03624446
  1.025498    0.25064087  0.3443559  -0.19733922  0.62158537 -0.339607
 -0.20358722 -0.08012542 -0.45807195 -0.03511628 -0.11981891 -0.15452112
 -0.01826286 -0.1681568  -0.01436559  0.27588174  0.2960246   0.10652227
  0.5171969   0.37932855 -0.0820173   0.36829895  0.09811019  0.5066216
  0.22093306 -0.07708551  0.11067047  0.23199081]",43,bowed
127,Boromir, followed,Frodo,,"[-0.3806338   0.40229365  0.5471114   0.17673904  0.16638906 -1.4280264
  0.08338913  1.876328   -0.21840855 -0.53585225 -0.20868045 -0.6753253
  0.23515572 -0.21765198 -0.23570415 -0.19575284  0.01479701 -0.6668428
 -0.12585759 -0.85405916  0.3550062  -0.02995964  0.39669064 -0.50041497
  0.04503441  0.20882764 -0.24958256 -0.4099107  -0.20231062  0.32474053
  0.10934845 -0.42893595  0.5867741  -0.36183733  0.21440358  0.5157689
  0.04376624 -0.44624475 -0.25909734 -0.29651493  0.34254372 -0.29905647
  0.01735528 -0.06230387  0.40218678  0.38104644 -0.71246755 -0.02419454
 -0.01348068  0.33528697 -0.09178834 -0.59801966  0.14639583  0.18188305
 -0.24320668  0.56037605  0.47149956 -0.1637194  -0.3386692   0.44651732
 -0.34263822 -0.33318552 -0.02394177  0.23251924 -0.46354517  0.48773342
  0.34817877  0.56913185 -0.12399886  0.47821757  0.33498248  0.01685257
  0.8546676   0.54693866  0.21992831 -0.09250788  0.8372871  -0.7048377
 -0.5728393  -0.03520459 -0.53038585  0.03365563 -0.19988811  0.11320686
 -0.35849923  0.0283533  -0.09269591  0.4634473   0.41340497  0.04892159
  0.71219665  0.16371548 -0.42767596  0.3820412   0.6570971   0.6340549
  0.42065138 -0.06258181 -0.23270445  0.20597464]",34,followed
128,Boromir, laid,Mordor,hand,"[-0.5277066   0.45896217  0.6860545   0.24957472 -0.05093251 -1.1832502
  0.18322964  1.6097281  -0.24582928 -0.7467524   0.35129216 -0.7165196
  0.05041549 -0.11131536 -0.17430882  0.23391199  0.22953667 -0.43446937
 -0.47045422 -0.88573396  0.07032147 -0.36802182  0.17857833 -0.4250778
 -0.18321224 -0.02344086 -0.29414147 -0.33817023 -0.37255234 -0.26309106
  0.27464017 -0.20372869  0.4822316  -0.31383288  0.22921368 -0.04343237
  0.31893027 -0.05689348  0.11925387 -0.52532667 -0.05152256 -0.17978464
  0.02880146 -0.13262267  0.22592627  0.64127505 -0.6281967   0.72739244
 -0.1898969   0.3584315  -0.05020147 -0.53050303  0.03469436  0.17945276
 -0.39244813  0.26315993  0.42837375 -0.60746276 -0.32184952  0.25924894
 -0.22748789  0.16796018  0.08340437  0.09924111 -0.5132142   0.29764938
  0.46181437  0.77873653 -0.16650544  0.544253    0.44983855 -0.04137205
  0.9223942   0.36579087  0.3643827  -0.16871674  0.76150197 -0.58326966
 -0.63256896 -0.14142439  0.01035636  0.01916675 -0.23055485 -0.06431673
 -0.30981845 -0.01131474 -0.138626    0.24324912  0.5084001   0.26350808
  0.44518968  0.38460863 -0.27013168  0.50135756  0.78145915  0.81539875
  0.3557112  -0.44284025  0.00453639  0.06666814]",20,laid
129,Gorgoroth, felt,Tower,,"[-0.17463954  0.786882    0.48586053 -0.45633227  0.2344706  -1.2192442
 -0.2955166   1.3336798   0.10168279 -0.385376   -0.4663238  -1.4131423
  0.2857466  -0.21370703 -0.02426066  0.10525719  0.33539772 -1.0979401
  0.06147239 -0.97591925  0.8373021  -0.6915503   0.02741892 -0.692849
 -0.78746665  0.9020354  -0.11537033 -0.68696046 -0.47349253 -0.00836078
  0.40228555 -0.68567395  0.76289195 -0.43260834 -0.09903014 -0.06663626
  0.31320202  0.12614685 -0.44111416  0.13311869  0.6563201  -0.67947227
 -0.19685316  0.2733869   0.07706784  0.24410278 -0.7873219  -0.4113254
  0.3541973   0.7814874  -0.19288568 -0.74818766  0.54583097  0.02229854
  0.14677945  0.6222988   0.12518257 -0.00234209  0.1166684   0.43864584
 -0.5779341  -0.75598246  0.3827967   0.65956426 -0.25829998 -0.13476704
 -0.17398721  0.23671821  0.6631079   0.7858985   0.70834756  0.2535611
  1.2563767   0.47706196  0.7051823   0.3198299   0.7751496  -0.74389803
 -0.31737489  0.07959276 -1.2760663  -0.6422818  -0.12828761  0.45678246
 -0.38443664 -0.4137318   0.22107916  0.547039    0.33629486  0.6253361
  0.94040823  0.6827275   0.43670452  0.66759545 -0.19769931  0.3789609
  0.68844426  0.39461103  0.4670412   0.45244688]",24,felt
130,River, bore,Sam,,"[-0.34576517 -0.05898616  0.38434204  0.10472757 -0.16739543 -0.80365115
  0.3357105   1.0415936  -0.53870964 -0.4415543  -0.18800357 -0.6341657
  0.18409805 -0.14217974 -0.19889662  0.07390682  0.2582213  -0.63273585
 -0.3622584  -0.9147292   0.19787258 -0.02798725  0.41050744 -0.5272238
 -0.11495794  0.41921306 -0.05882969 -0.17627203 -0.35353595  0.14142379
  0.5344381  -0.13024917  0.5222403  -0.26879576 -0.00609472  0.08261481
  0.07486746 -0.33707178 -0.23552087 -0.44604027  0.03057355 -0.18446589
 -0.19770196  0.00807133  0.35380062  0.01010411 -0.62058705  0.1428113
  0.12367535  0.4694067  -0.09664039 -0.54635787  0.20351297  0.0124217
 -0.3387781   0.5262764  -0.05953338 -0.3316967  -0.43991283  0.25209004
 -0.02180421 -0.13394687 -0.01404544  0.00635009 -0.5876302   0.39549965
  0.03554699  0.41576356 -0.0517041   0.7601435   0.39498198  0.2823464
  0.80693614  0.0978321   0.21402422  0.07938766  0.7979336  -0.37410057
 -0.27159068  0.24643613 -0.34110612 -0.06792217 -0.4095638   0.1633065
 -0.26931602 -0.38551563 -0.07493109  0.10076232  0.321351   -0.00995092
  0.57695615  0.4374674  -0.06916778  0.2232577   0.45719808  0.5857451
  0.33397812 -0.57388306  0.08111411  0.265066  ]",44,bore
131,Aragorn, found,Boromir,,"[-0.20295972  1.0471594   0.3723826  -0.4889048   0.34246007 -1.2500172
 -0.36767244  1.5156311  -0.04543975 -0.1158102  -0.53031826 -0.89755017
  0.29194823 -0.21659358 -0.05088262 -0.14093305 -0.1907437  -0.35106432
 -0.20002562 -0.84696984  1.3014195  -0.21734057  0.25127143 -0.37093857
  0.11181474  0.5304181   0.22554457 -0.6493193  -0.20095406  0.12842563
  0.65633565 -0.34436375  1.0661951  -0.6199328  -0.00819267  0.6398981
  0.25793418 -0.21548022 -0.63681805  0.05942228  0.4134413  -0.9039119
 -0.08463324 -0.04271019  0.49058545 -0.2559653  -0.3532264  -0.8302633
  0.14658807  0.99167025 -0.08296049 -0.33230585  0.23635827 -0.40196747
  0.59411323  0.6234443   0.2897089   0.25489503  0.00327073  0.28039473
 -0.27851084 -0.81721115  0.53298265  0.5138905  -0.4288309  -0.34307423
  0.4273467   0.43807185 -0.14632206  1.1406394  -0.09346377  0.31691775
  0.6963685   0.6011164   0.7047744   0.4368047  -0.23271509 -0.5810304
 -0.74291766 -0.01004683 -0.53642464 -0.5616189  -0.59882987  0.7714409
 -1.0065148  -0.17073728  0.1154794   0.39421612  0.3078975   0.85809726
  0.5032058   0.08348934  0.04833637 -0.1752532   0.26458994  0.14619222
  0.32164627  0.278417    0.3056128   0.08481763]",13,found
132,Gimli, found,Boromir,,"[-0.20295972  1.0471594   0.3723826  -0.4889048   0.34246007 -1.2500172
 -0.36767244  1.5156311  -0.04543975 -0.1158102  -0.53031826 -0.89755017
  0.29194823 -0.21659358 -0.05088262 -0.14093305 -0.1907437  -0.35106432
 -0.20002562 -0.84696984  1.3014195  -0.21734057  0.25127143 -0.37093857
  0.11181474  0.5304181   0.22554457 -0.6493193  -0.20095406  0.12842563
  0.65633565 -0.34436375  1.0661951  -0.6199328  -0.00819267  0.6398981
  0.25793418 -0.21548022 -0.63681805  0.05942228  0.4134413  -0.9039119
 -0.08463324 -0.04271019  0.49058545 -0.2559653  -0.3532264  -0.8302633
  0.14658807  0.99167025 -0.08296049 -0.33230585  0.23635827 -0.40196747
  0.59411323  0.6234443   0.2897089   0.25489503  0.00327073  0.28039473
 -0.27851084 -0.81721115  0.53298265  0.5138905  -0.4288309  -0.34307423
  0.4273467   0.43807185 -0.14632206  1.1406394  -0.09346377  0.31691775
  0.6963685   0.6011164   0.7047744   0.4368047  -0.23271509 -0.5810304
 -0.74291766 -0.01004683 -0.53642464 -0.5616189  -0.59882987  0.7714409
 -1.0065148  -0.17073728  0.1154794   0.39421612  0.3078975   0.85809726
  0.5032058   0.08348934  0.04833637 -0.1752532   0.26458994  0.14619222
  0.32164627  0.278417    0.3056128   0.08481763]",13,found
133,Sauron, use,Legolas,,"[-0.16241144  0.54126805  0.05031048 -0.89408094  0.20722769 -0.69952834
 -0.18718325  0.22563067 -0.7392401  -0.09168611 -0.26210803 -0.2422461
  0.21321924 -0.35807365  0.46773243 -0.20825168 -0.1327783  -0.51487005
 -0.41995725 -1.0876751   0.6180531   0.02549848 -0.15674946 -0.36186585
 -0.24557318  0.39603293 -0.03247952  0.10665956 -0.09107155 -0.0410574
  1.0065241  -0.01947537  0.44955885 -0.3255421  -0.24366783  0.3487626
 -0.03001123 -0.06132251 -0.419249   -0.47003752 -0.5163497  -0.3907478
 -0.0110463  -0.01775468  0.3192415  -0.7653083  -0.21045433 -0.33278406
  0.4719405   1.0390265   0.09231672 -0.11899807  0.2511734   0.00854241
  0.39703047  0.00291706 -0.2213251   0.31237632 -0.1072771  -0.05872393
  0.10079906  0.02271375  0.5322855   0.05485454 -0.19849034  0.25521868
  0.24619931  0.24078642 -0.5356803   0.79888725 -0.21664473  0.9808195
  0.34195566 -0.40838555  0.76226586  0.30187386 -0.5184582   0.4627674
 -0.13934554  0.25393316 -0.57981753 -0.03546001 -1.0123335   0.7693832
  0.00695439 -0.29652187  0.01765355  0.2679035   0.41480783  0.2582192
  0.31358773  0.33497763  0.7723512  -0.41468593  0.64946574  0.02263946
 -0.5104048  -0.45095864  0.13305537  0.3467041 ]",-1,thoughts
134,Aragorn, laid,Boromir,,"[-0.5277066   0.45896217  0.6860545   0.24957472 -0.05093251 -1.1832502
  0.18322964  1.6097281  -0.24582928 -0.7467524   0.35129216 -0.7165196
  0.05041549 -0.11131536 -0.17430882  0.23391199  0.22953667 -0.43446937
 -0.47045422 -0.88573396  0.07032147 -0.36802182  0.17857833 -0.4250778
 -0.18321224 -0.02344086 -0.29414147 -0.33817023 -0.37255234 -0.26309106
  0.27464017 -0.20372869  0.4822316  -0.31383288  0.22921368 -0.04343237
  0.31893027 -0.05689348  0.11925387 -0.52532667 -0.05152256 -0.17978464
  0.02880146 -0.13262267  0.22592627  0.64127505 -0.6281967   0.72739244
 -0.1898969   0.3584315  -0.05020147 -0.53050303  0.03469436  0.17945276
 -0.39244813  0.26315993  0.42837375 -0.60746276 -0.32184952  0.25924894
 -0.22748789  0.16796018  0.08340437  0.09924111 -0.5132142   0.29764938
  0.46181437  0.77873653 -0.16650544  0.544253    0.44983855 -0.04137205
  0.9223942   0.36579087  0.3643827  -0.16871674  0.76150197 -0.58326966
 -0.63256896 -0.14142439  0.01035636  0.01916675 -0.23055485 -0.06431673
 -0.30981845 -0.01131474 -0.138626    0.24324912  0.5084001   0.26350808
  0.44518968  0.38460863 -0.27013168  0.50135756  0.78145915  0.81539875
  0.3557112  -0.44284025  0.00453639  0.06666814]",20,laid
135,Aragorn, followed,Orcs,enemies,"[-0.3806338   0.40229365  0.5471114   0.17673904  0.16638906 -1.4280264
  0.08338913  1.876328   -0.21840855 -0.53585225 -0.20868045 -0.6753253
  0.23515572 -0.21765198 -0.23570415 -0.19575284  0.01479701 -0.6668428
 -0.12585759 -0.85405916  0.3550062  -0.02995964  0.39669064 -0.50041497
  0.04503441  0.20882764 -0.24958256 -0.4099107  -0.20231062  0.32474053
  0.10934845 -0.42893595  0.5867741  -0.36183733  0.21440358  0.5157689
  0.04376624 -0.44624475 -0.25909734 -0.29651493  0.34254372 -0.29905647
  0.01735528 -0.06230387  0.40218678  0.38104644 -0.71246755 -0.02419454
 -0.01348068  0.33528697 -0.09178834 -0.59801966  0.14639583  0.18188305
 -0.24320668  0.56037605  0.47149956 -0.1637194  -0.3386692   0.44651732
 -0.34263822 -0.33318552 -0.02394177  0.23251924 -0.46354517  0.48773342
  0.34817877  0.56913185 -0.12399886  0.47821757  0.33498248  0.01685257
  0.8546676   0.54693866  0.21992831 -0.09250788  0.8372871  -0.7048377
 -0.5728393  -0.03520459 -0.53038585  0.03365563 -0.19988811  0.11320686
 -0.35849923  0.0283533  -0.09269591  0.4634473   0.41340497  0.04892159
  0.71219665  0.16371548 -0.42767596  0.3820412   0.6570971   0.6340549
  0.42065138 -0.06258181 -0.23270445  0.20597464]",34,followed
136,Gimli, ground,Rohan,teeth,"[-4.59478527e-01  5.82604885e-01  9.36703563e-01  2.08802205e-02
  1.44394621e-01 -1.67217302e+00  1.47681236e-01  1.94829392e+00
 -9.95540768e-02 -1.08292341e+00  6.97564363e-01 -7.36468971e-01
  1.60122603e-01 -1.94674417e-01 -6.71636611e-02  5.14605701e-01
  5.21364152e-01 -4.77953255e-01 -3.34754229e-01 -1.11168337e+00
 -6.35044351e-02 -6.84554756e-01  2.28079900e-01 -3.64801764e-01
 -5.48053868e-02  1.75209850e-01 -5.55200875e-01 -3.33890229e-01
 -4.74502116e-01 -1.59225151e-01 -2.82346219e-01 -3.17023993e-01
  8.74225616e-01 -5.49868822e-01  3.12320232e-01 -2.38653421e-01
  2.55324572e-01 -5.30589759e-01  7.83890858e-02 -7.35301733e-01
 -3.01032037e-01  1.92488715e-01  2.47036725e-01 -4.03121203e-01
  4.56768693e-03  1.17273295e+00 -1.15266466e+00  8.83318901e-01
 -1.00987092e-01  4.01227802e-01 -1.55873671e-02 -8.09777379e-01
 -4.89761084e-01  4.38134968e-01  1.70792609e-01 -1.27674431e-01
  7.60815859e-01 -9.13854420e-01 -2.00720981e-01  6.76513612e-01
 -7.18345702e-01 -6.01261295e-02  4.69908230e-02  3.88207406e-01
 -6.82190955e-01  6.98245108e-01  2.85465658e-01  3.39996666e-01
 -3.35962057e-01  2.77370036e-01  5.58518350e-01 -9.25216600e-02
  1.28157592e+00  6.17284894e-01  3.35196197e-01 -8.35063815e-01
  1.28966796e+00 -1.07002652e+00 -9.86334205e-01 -3.90547037e-01
 -1.31401032e-01  4.47985113e-01 -1.31661773e-01  9.14018899e-02
 -2.41310850e-01  3.17980766e-01 -1.67864263e-01  5.55640399e-01
  4.20267284e-01  2.50434335e-02  7.86139607e-01  3.43479067e-02
 -3.45837831e-01  1.02522922e+00  8.41251850e-01  1.03719532e+00
  7.09886253e-01  1.11268185e-01 -5.00123382e-01 -6.77282340e-04]",-1,thoughts
137,Gimli, saw,Legolas,,"[-0.810779    0.08501016  0.8626317  -0.16027759 -0.31852597 -1.2199368
  0.29597703  1.9437878  -0.16198055 -0.34252277 -0.73848456 -1.3223505
  0.7507389  -0.06121532 -0.7499626   0.45125464  0.6342938  -0.41804162
 -0.24966848 -0.6111164   0.70437324 -0.6542002   0.81305796 -0.7597185
 -0.08693278  1.0901179   0.24645911 -0.6758754  -0.53813934  0.21820031
  0.2246224  -0.25413078  1.6681406  -0.7627089   0.02518778 -0.6165169
  0.1093113  -0.94213396 -0.5115748   0.3468136   0.72811913 -0.5156364
 -0.07506383 -0.06547866  0.25425833  0.2578015  -0.5897861  -0.6893881
  0.41847807  0.55770105 -0.26213017 -0.609772    0.54144627 -0.64412624
  0.15025775  0.95224196 -0.00512258 -0.1308825  -0.500641    0.81747234
 -0.5810957  -1.177373   -0.06128611  1.5402176  -0.5364356  -0.06405438
 -0.27695337  0.20641543  0.72553176  1.6596661   0.8494501   0.0555675
  1.5796396   0.5829181   0.48890364 -0.3759821   1.6436     -1.6232685
 -0.31938908  0.3492224  -1.2188219  -0.7237667   0.05729816  0.5331118
 -1.0112656  -0.25219664  0.67472196  0.19038136 -0.14261071  0.3609411
  1.629149   -0.00338391 -0.10046937  0.10925575 -0.27050844  0.52449507
  1.2790122   0.39275345 -0.13243546  0.4095489 ]",1,saw
138,Éomer, raised,Legolas,sword,"[-0.30737135  0.3390956   0.38211384  0.06736281 -0.10068809 -0.76805663
  0.13360886  1.0957905  -0.3321609  -0.48949507 -0.01225527 -0.59380466
  0.05249953 -0.18406361 -0.17956929  0.08161359  0.20139256 -0.4967163
 -0.3905553  -0.77591616  0.10527068 -0.16615736  0.18117493 -0.39275235
 -0.2531388   0.12478037 -0.17846169 -0.22140187 -0.3094872  -0.07735285
  0.41293216 -0.23561865  0.30452633 -0.28276867  0.06583993  0.02192037
  0.13893963  0.06435328  0.07236817 -0.38359126  0.08918866 -0.23157604
 -0.03635742  0.03951015  0.2887887   0.23920764 -0.3884936   0.3946567
 -0.04240457  0.31445193 -0.14227146 -0.4214979   0.16345547  0.15323552
 -0.39552158  0.32738528  0.12068047 -0.26655743 -0.2668264   0.03582364
 -0.01627112  0.03869004  0.15258543  0.1356172  -0.32627326  0.21753968
  0.16554055  0.5333575  -0.01965685  0.5571997   0.35259616  0.15540378
  0.7457079   0.2203854   0.270092    0.03243303  0.5145327  -0.38154042
 -0.21371378  0.01069975 -0.17965287 -0.1621655  -0.2324414  -0.05727364
 -0.1049321  -0.23321758 -0.06999446  0.19512379  0.32859695  0.15385331
  0.35139325  0.40549788 -0.00430412  0.28465635  0.4295996   0.40187395
  0.21531461 -0.40236673  0.14863342  0.08579615]",31,raised
