,ENTITY1,RELATION,ENTITY2
142,Strider, sought,Sam
143,Beren, cast,Sam
144,Beren, beheld,Lúthien
145,Tinúviel, rescued,Beren
146,Esgalduin, chose,mortality
147,Pippin, threw,Pippin
148,Frodo, felt,Sam
149,Frodo, left,hand
150,Frodo, drew,Frodo
151,Frodo, threw,Frodo
152,Frodo, heard,Frodo
153,Frodo, pierce left,shoulder
154,Frodo, swooned,Frodo
155,Sam, heard,Frodo
156,Strider, ordered,words
157,Sam, ordered,Pippin
158,Gandalf, held,knife
159,grey, watched,leaves
160,Road, sweeping,round
161,Elves, call,Mitheithel
162,Strider, made,footprints
163,Frodo, recalled,Bilbo
164,Frodo, threw,Frodo
165,Frodo, left,arm
166,Strider, took,Merry
167,Tim, heard,Tom
168,Bilbo, gave,None
169,Elrond, received,news
170,Sam, needs,rest
171,Glorfindel, caught,Frodo
172,Sam, took,Glorfindel
173,Frodo, led,hobbits
174,Frodo, allow,hobbits
175,Frodo, shaking,hand
176,Frodo, heard,cries
177,Frodo, felt,Frodo
178,Frodo, left,hand
179,Ring, drew,Riders
180,Elrond, commanded,flood
181,Sam, stroked,hand
182,Sam, led,Frodo
183,Elrond, thought,Elrond
184,Frodo, saw,warrior
185,Bowman, rules,men
186,Frodo, found,Frodo
187,Bilbo, sat,side
188,Elrond, said,Elrond
189,Frodo, drew,chain
190,Frodo, found,Frodo
191,Elladan, had,tidings
192,Frodo, understood,words
193,Bilbo, chanting,verses
194,Bilbo, armoured,Bilbo
195,Bilbo, shining,shield
196,Bilbo, undying,doom
197,Bilbo, shining,lamp
198,Elrond, led,Frodo
199,Gandalf, led,wizard
200,Frodo, saw,Glorfindel
201,Elrond, drew,Frodo
202,Sauron, fell,voice
203,Sauron, ensnared,eyes
204,Mordor, assailed,Elendil
205,Isildur, took,Ring
206,Isildur, took,Ring
207,Círdan, took,counsel
208,Ohtar, brought,shards
209,Tower, remains,foundations
210,Osgiliath, ruins,shadows
211,Gandalf, wished,Gandalf
212,Gandalf, held,Ring
213,Gandalf, trembling,hand
214,Frodo, felt,Bilbo
215,Sauron, gave,way
216,Denethor, hoarded,scrolls
217,Isildur, made,Isildur
218,Isildur, found,Ring
219,Sauron, heard,Sauron
220,Wise, moved,robes
221,Power, proved,friends
222,Ruler, has,time
223,Gandalf, broke,tryst
224,Thrór, gave,Moria
225,Gollum, caught even,Legolas
226,Legolas, passed,bit
227,Aragorn, gave,sword
228,Frodo, drew,sword
229,Frodo, accepted,sword
230,Bilbo, put,voice
231,Elrond, counselled,shadows
232,Aragorn, had,Andúril
233,Frodo, took only,Sting
234,Sam, called,Bill
235,Sauron, went,Aragorn
236,Elves, call,Nanduhirion
237,Aragorn, joined,Sam
238,Sam, felt,silence
239,Sam, thought,birds
240,Frodo, watched,sides
241,Boromir, found,wind
242,wall, hoped,cliff
243,Frodo, felt,Frodo
244,Frodo, heard,Bilbo
245,January, felt,January
246,Gandalf, held,faggot
247,Aragorn, followed,Boromir
248,Legolas, watched,places
249,Aragorn, carrying,Frodo
250,Gandalf, spared,dots
251,Company, stretched away southward,furlongs
252,Moon, caught,lines
253,Boromir, cast,stone
254,Sam, pulled,Frodo
255,Sam, drove,arms
256,Gandalf, glimmering,staff
257,Gandalf, came,Gimli
258,Frodo, went,Sam
259,Frodo, caught,glimpses
260,Gimli, aided,Gandalf
261,Gimli, rolled,Gimli
262,Gimli, wished,Gimli
263,Thorin, gave,Thorin
264,Michel, Delving,Mathom
265,Frodo, heard,whispers
266,Water, took,Óin
267,Boromir, flung,Boromir
268,Boromir, hurled,Boromir
269,Pippin, turned,Boromir
270,Frodo, thought,Sam
271,Gandalf, spoke,Wisps
272,Boromir, raised,Boromir
273,Balrog, left,hand
274,Aragorn, roused,fires
275,Frodo, heard,Sam
276,Silverlode, gathers,water
277,Aragorn, tended,Sam
278,Aragorn, examined,wound
279,Sting, heard,road
280,Sting, thought,Sting
281,Sting, saw,feet
282,Elves, call,Celebrant
283,Lórien, set,sail
284,Elves, called,platform
285,Sam, found,Legolas
286,Sam, held,lamp
287,Rúmil, caught,Haldir
288,Frodo, set,foot
289,Frodo, found,Aragorn
290,elanor, thought,elanor
291,Lord, welcomed,Frodo
292,Gandalf, knew not mind,Gandalf
293,Company, held,hope
294,Boromir, pressed,Gimli
295,Lady, took,Gimli
296,Frodo, led,trees
297,Mirror, shows,things
298,Frodo, willed,Eye
299,Lady, greeted,LÓRIEN
300,Aragorn, thanked,Celeborn
301,Company, said,farewell
302,Frodo, greeted,Haldir
303,Haldir, led,ways
304,Elves, added also,coils
305,Galadriel, filled,grass
306,Galadriel, gave,Aragorn
307,Galadriel, held,stone
308,Lady, moved,phial
309,Mirror, saw,Lady
310,Celeborn, led,words
311,River, interpreted,words
312,nu, luini tintilar,yassen
313,Aragorn, let,branches
314,Sam, looked again,Sam
315,Sam, shaking,Strider
316,Frodo, spoke,Frodo
317,Sam, thought,Sam
318,Frodo, saw,Aragorn
319,Aragorn, led,travellers
320,Boromir, followed,Frodo
321,Council, laid,trial
322,Frodo, burning,eyes
323,Gorgoroth, saw,gaze
324,Gorgoroth, felt,Tower
325,Gorgoroth, threw,Gorgoroth
326,Gorgoroth, heard,Gorgoroth
327,Boromir, thought,Boromir
328,Tirith, goes,east
329,Frodo, knows,Frodo
330,Frodo, screws,Frodo
331,Sam, overtook,Sam
332,Sam, did,Sam
333,Boromir, screwed,Boromir
334,Sam, missed,bank
335,River, bore,Sam
